[19/Aug/2023 16:04:42] DEBUG [django.utils.autoreload:381] File /workspaces/Jewrls-corner/jewrls_corner/settings.py previous mtime: 1692461026.019591, current mtime: 1692461082.1519825
[19/Aug/2023 16:04:42] DEBUG [django.utils.autoreload:355] /workspaces/Jewrls-corner/jewrls_corner/settings.py notified as changed. Signal results: [(<function template_changed at 0x7f0d173cb700>, None), (<function translation_file_changed at 0x7f0d163ae040>, None)].
[19/Aug/2023 16:04:42] INFO [django.utils.autoreload:250] /workspaces/Jewrls-corner/jewrls_corner/settings.py changed, reloading.
[19/Aug/2023 16:04:43] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /home/codeany/.local/lib/python3.8/site-packages/allauth/templates with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/bag/templates with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/products/templates with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/templates/allauth with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/templates with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/home/templates with glob **/*.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /home/codeany/.local/lib/python3.8/site-packages/allauth/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /home/codeany/.local/lib/python3.8/site-packages/allauth/account/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /home/codeany/.local/lib/python3.8/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/home/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/products/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:280] Watching dir /workspaces/Jewrls-corner/bag/locale with glob **/*.mo.
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/core/checks/templates.py first seen with mtime 1682543863.4893687
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/site-packages/setuptools/_vendor/packaging/requirements.py first seen with mtime 1682248394.776512
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/core/__init__.py first seen with mtime 1682543863.4813685
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/contrib/auth/checks.py first seen with mtime 1682543862.8053613
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/utils/translation/__init__.py first seen with mtime 1682543863.6093698
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/lib-dynload/_blake2.cpython-38-x86_64-linux-gnu.so first seen with mtime 1682248317.0
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/sre_constants.py first seen with mtime 1682248337.3720512
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/contrib/auth/decorators.py first seen with mtime 1682543862.8093612
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/wsgiref/util.py first seen with mtime 1682248340.7600784
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/platform.py first seen with mtime 1682248337.3000507
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/pprint.py first seen with mtime 1682248337.3120508
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1682543862.8053613
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/site-packages/setuptools/_path.py first seen with mtime 1682248394.7245116
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.pyenv/versions/3.8.12/lib/python3.8/logging/config.py first seen with mtime 1682248340.7440784
[19/Aug/2023 16:04:43] DEBUG [django.utils.autoreload:378] File /home/codeany/.local/lib/python3.8/site-packages/django/utils/log.py first seen with mtime 1682543863.6053698
